end_station_name,end_lat,end_lng,stops,percent_of_stops
Halsted St & Fulton St,41.886821949744984,-87.64782945593424,6924,0.21042810449074362
Halsted St & Willow St,41.913865000000015,-87.64875500000056,6917,0.2102153666612469
Broadway & Wilson Ave,41.96522099999969,-87.65813900000028,6904,0.20982028212075304
Woodlawn Ave & 55th St,41.79526400000024,-87.59647099999904,6895,0.2095467620542573
Orleans St & Hubbard St,41.8900280000005,-87.63661799999976,6884,0.20921245975076244
Lincoln Park Conservatory,41.92393131136541,-87.63582453131676,6856,0.20836150843277562
Michigan Ave & 8th St,41.87277297069848,-87.6239809894637,6844,0.20799681501078127
Damen Ave & Division St,41.90326600000032,-87.67843499999984,6817,0.20717625481129395
Fulton Market,41.88687099999937,-87.64808899999923,6796,0.20653804132280382
Southport Ave & Wrightwood Ave,41.92877299999994,-87.66391299999856,6730,0.2045322275018349
Clark St & North Ave,41.91197400000038,-87.6319420000021,6716,0.20410675184284144
Woodlawn Ave & 58th St,41.789380999999864,-87.59647899999986,6650,0.20210093802187248
Rush St & Hubbard St,41.89017299999981,-87.6261850000005,6606,0.20076372880789317
Clark St & Grace St,41.95077999999949,-87.65917199999973,6586,0.2001559064379026
Ashland Ave & Division St,41.90317395710728,-87.66927108239388,6565,0.19951769294941243
Financial Pl & Ida B Wells Dr,41.8750236280329,-87.6330940425396,6548,0.19900104393492046
Ellis Ave & 58th St,41.7887461300827,-87.60133399440306,6520,0.19815009261693362
Dearborn St & Maple St,41.90191999999951,-87.63026000000127,6485,0.19708640346945008
Paulina St & Flournoy St,41.87306108789832,-87.66913488507271,6466,0.19650897221795902
Paulina St & Division St,41.903552891163756,-87.67042920730826,6379,0.19386494490849995
Carpenter St & Huron St,41.894555999999604,-87.65344899999984,6369,0.19356103372350464
Dearborn St & Division St,41.90429999999992,-87.62991000000146,6350,0.19298360247201357
Stetson Ave & South Water St,41.88683499999977,-87.62231999999943,6308,0.19170717549503333
Aberdeen St & Monroe St,41.8802807092467,-87.65511304972338,6288,0.19109935312504275
Sangamon St & Washington Blvd,41.883164999999636,-87.65110000000043,6252,0.19000527285905966
Aberdeen St & Carroll Ave,41.888189999999724,-87.6545899999999,6224,0.18915432154107284
Clark St & Leland Ave,41.96708784118392,-87.66729088701048,6215,0.18888080147457706
Hampden Ct & Diversey Pkwy,41.932469999999824,-87.64241999999963,6202,0.1884857169340832
Greenview Ave & Fullerton Ave,41.92532999999928,-87.66580000000063,6138,0.18654068535011328
Noble St & Milwaukee Ave,41.9006999999994,-87.66260699999991,6094,0.18520347613613397
Wood St & Chicago Ave,41.89563400000031,-87.67206900000008,6083,0.18486917383263915
Wells St & Institute Pl,41.897379860723355,-87.63442039489746,6081,0.18480839159564008
Clark St & Ida B Wells Dr,41.8759326655002,-87.63058453549962,6053,0.18395744027765326
Calumet Ave & 18th St,41.857617552937654,-87.61941075325012,6039,0.18353196461865984
Morgan St & Lake St*,41.88549170626984,-87.65228927135468,5987,0.1819516264566843
Wabash Ave & 16th St,41.86038399999972,-87.62581300000012,5984,0.1818604531011857
Franklin St & Washington St,41.88318000000011,-87.63511000000065,5983,0.1818300619826862
Ashland Ave & Blackhawk St,41.90706599999985,-87.66725199999952,5938,0.18046246165020735
Wabash Ave & Adams St,41.87947235235011,-87.62568860589889,5918,0.17985463928021675
Broadway & Berwyn Ave,41.978361000000355,-87.65978899999939,5907,0.17952033697672193
Sheridan Rd & Argyle St,41.973286820259574,-87.65475958585739,5891,0.17903407908072946
900 W Harrison St,41.874753999999896,-87.64980700000002,5857,0.17800078105174544
Elizabeth St & Fulton St,41.88674360684863,-87.65943034453075,5821,0.17690670078576237
Damen Ave & Thomas St (Augusta Blvd),41.90131499999989,-87.67740900000038,5819,0.1768459185487633
Ashland Ave & Chicago Ave,41.89595435734341,-87.6677280664444,5819,0.1768459185487633
Halsted St & Maxwell St,41.86488299999988,-87.64707099999961,5780,0.17566066492728163
Dearborn St & Adams St,41.8793755545332,-87.6297615007639,5763,0.17514401591278966
Bissell St & Armitage Ave*,41.91829556293606,-87.65218332409859,5735,0.17429306459480282
State St & Pearson St,41.897448000000175,-87.62872199999987,5696,0.17310781097332115
Clark St & Bryn Mawr Ave,41.98359300000023,-87.6691540000006,5661,0.17204412182583761
Michigan Ave & 18th St,41.85792599999992,-87.62433599999976,5598,0.17012948136036724
Eckhart Park,41.8963733700002,-87.66098385999967,5580,0.1695824412273757
Wood St & Beach Ave,41.90765500000035,-87.67255200000142,5566,0.1691569655683823
