end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Loomis St & Lexington St,41.87222873224017,-87.66136385500431,11194,0.34019818048373546
Clarendon Ave & Gordon Ter,41.957866524152514,-87.64950513839722,11137,0.33846588672926226
Canal St & Jackson Blvd,41.878128111128746,-87.63996968169992,11114,0.33776689100377305
Sheridan Rd & Irving Park Rd,41.95424500000062,-87.65440599999859,11082,0.3367943752117881
McClurg Ct & Erie St,41.89450300000092,-87.61785399999869,10913,0.3316582761853676
Pine Grove Ave & Irving Park Rd,41.95436431676891,-87.64792842264606,10891,0.3309896715783779
Wells St & Walton St,41.89993000999863,-87.63443007000019,10881,0.33068576039338266
Broadway & Sheridan Rd,41.952833000000886,-87.64999299999921,10798,0.3281632975579217
Sedgwick St & Huron St,41.894665999999276,-87.6384369999992,10780,0.3276162574249301
DuSable Lake Shore Dr & Monroe St,41.88095800358651,-87.61674300022901,10675,0.3244251899824795
Sheffield Ave & Kingsbury St,41.91052199999962,-87.65310600000016,10555,0.320778255762536
Wilton Ave & Diversey Pkwy,41.93241799194666,-87.65270499668631,10523,0.319805739970551
Clark St & Winnemac Ave,41.9733476404739,-87.6678554713726,10482,0.3185597041120703
Lakeview Ave & Fullerton Pkwy,41.92585801357997,-87.63897300175452,10464,0.3180126639790788
Aberdeen St & Jackson Blvd,41.87772612999919,-87.65478742999984,10440,0.31728327713509
DuSable Lake Shore Dr & Belmont Ave,41.94077499999913,-87.6391920000001,10439,0.3172528860165905
Wells St & Evergreen Ave,41.90672448882653,-87.63482999972624,10436,0.3171617126610919
Franklin St & Lake St,41.8858370000007,-87.63550000000026,10421,0.316705845883599
Halsted St & Roscoe St,41.94366999999972,-87.64895000000142,10418,0.3166146725281004
Clark St & Newport St,41.94453999999869,-87.65467800000053,10415,0.3165234991726018
Halsted St & Wrightwood Ave,41.9291430000007,-87.64907699999922,10394,0.31588528568411167
DuSable Lake Shore Dr & Wellington Ave,41.93668844949954,-87.63682901859283,10283,0.31251187153066384
Franklin St & Illinois St,41.891023311660696,-87.63547987248363,10255,0.31166092021267705
Kingsbury St & Kinzie St 2,41.889188000000594,-87.638387000001,10242,0.3112658356721832
Peoria St & Jackson Blvd,41.87764082642975,-87.6496175835714,10166,0.30895611066621886
Desplaines St & Jackson Blvd,41.878118900911964,-87.64394760131836,9979,0.3032729715068069
Mies van der Rohe Way & Chestnut St,41.898586651399356,-87.62191522580136,9965,0.30284749584781345
Broadway & Belmont Ave,41.94010600363877,-87.64545100451721,9948,0.30233084683332145
Clark St & Wellington Ave,41.936496821900725,-87.64753865820111,9902,0.30093285538234305
Rush St & Cedar St,41.902308701218764,-87.62769052799796,9900,0.30087207314534403
Fairbanks Ct & Grand Ave,41.89184737211136,-87.62058019638062,9838,0.2989878237983732
Kimbark Ave & 53rd St,41.79945489999961,-87.59477789999927,9681,0.294216418193947
State St & Kinzie St,41.88937546663262,-87.62707650661469,9664,0.293699769179455
